province,data_date,total_case,total_death,daily_case,daily_death,casesroll_avg,maxcaserate,maxcaseday,filter_week,seq_
Jawa Tengah,2021-04-11,173720,7477,205,23,504.57142857142856,3466.714285714286,2021-07-08,2020-03-28,380
Jawa Timur,2021-04-11,142554,10200,249,22,286,1820.7142857142858,2021-07-08,2020-03-24,384
Kalimantan Selatan,2021-04-11,30397,874,241,0,218,260.42857142857144,2021-04-02,2020-04-16,361
Bali,2021-04-12,41903,1218,169,7,185,411,2021-07-08,2020-04-09,369
DKI Jakarta,2021-04-12,393290,6437,692,7,900.1428571428571,10324,2021-07-08,2020-03-12,397
Jambi,2021-04-12,6645,96,5,0,34.285714285714285,132,2021-06-19,2020-08-04,252
Jawa Barat,2021-04-12,260048,3415,1470,25,941.8571428571429,6477.714285714285,2021-07-08,2020-03-21,388
Jawa Tengah,2021-04-12,174457,7507,737,15,539,3466.714285714286,2021-07-08,2020-03-28,381
Jawa Timur,2021-04-12,142805,10266,251,34,289,1820.7142857142858,2021-07-08,2020-03-24,385
Kalimantan Selatan,2021-04-12,30479,882,82,4,207.85714285714286,260.42857142857144,2021-04-02,2020-04-16,362
Bali,2021-04-13,42053,1218,150,7,172.71428571428572,411,2021-07-08,2020-04-09,370
DKI Jakarta,2021-04-13,394118,6437,828,6,948.8571428571429,10324,2021-07-08,2020-03-12,398
Jambi,2021-04-13,6685,96,40,0,31.428571428571427,132,2021-06-19,2020-08-04,253
Jawa Barat,2021-04-13,261504,3415,1456,23,1012.1428571428571,6477.714285714285,2021-07-08,2020-03-21,389
Jawa Tengah,2021-04-13,175316,7507,859,15,568.7142857142857,3466.714285714286,2021-07-08,2020-03-28,382
Jawa Timur,2021-04-13,143054,10266,249,32,282.42857142857144,1820.7142857142858,2021-07-08,2020-03-24,386
Kalimantan Selatan,2021-04-13,30621,882,142,4,206.28571428571428,260.42857142857144,2021-04-02,2020-04-16,363
Bali,2021-04-14,42174,1226,121,3,160,411,2021-07-08,2020-04-09,371
DKI Jakarta,2021-04-14,394779,6450,661,7,920.1428571428571,10324,2021-07-08,2020-03-12,399
Jambi,2021-04-14,6736,96,51,0,32,132,2021-06-19,2020-08-04,254
Jawa Barat,2021-04-14,263072,3474,1568,17,1120.2857142857142,6477.714285714285,2021-07-08,2020-03-21,390
Jawa Tengah,2021-04-14,176032,7564,716,21,594.5714285714286,3466.714285714286,2021-07-08,2020-03-28,383
Jawa Timur,2021-04-14,143316,10313,262,21,270.42857142857144,1820.7142857142858,2021-07-08,2020-03-24,387
Kalimantan Selatan,2021-04-14,30877,889,256,1,222.85714285714286,260.42857142857144,2021-04-02,2020-04-16,364
Bali,2021-04-15,42376,1226,202,5,159.57142857142858,411,2021-07-08,2020-04-09,372
DKI Jakarta,2021-04-15,396109,6450,1330,6,933.1428571428571,10324,2021-07-08,2020-03-12,400
Jambi,2021-04-15,6785,96,49,0,31.857142857142858,132,2021-06-19,2020-08-04,255
Jawa Barat,2021-04-15,264288,3474,1216,42,1197.857142857143,6477.714285714285,2021-07-08,2020-03-21,391
Jawa Tengah,2021-04-15,176873,7564,841,36,601,3466.714285714286,2021-07-08,2020-03-28,384
Jawa Timur,2021-04-15,143610,10313,294,26,270,1820.7142857142858,2021-07-08,2020-03-24,388
Kalimantan Selatan,2021-04-15,31098,889,221,6,211.42857142857142,260.42857142857144,2021-04-02,2020-04-16,365
